Beat Master,,,,,,,,,,,,
,,,,,,,,,Printed by ITD436_OP1 at 22/05/2026 12:26:58,,,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0024,D12 JAG NATH STORES,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0025,D13 SAGAR STORES,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0026,D14 L M SHAW,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0102,D15 PABITRA STORES,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0103,D16 S N STORES,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0104,D17 SHAW PAN SHOP,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0105,D18 UNIQUE PAN STORE,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0235,D19 HANDICAP,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0245,D2 BIRENDAR SHAW,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0236,D20 RAM PRASAD,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0237,D21 JAMUNA STORES,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0238,D22 PAN PALACE,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0239,D23 RANJAN PAN SHOP,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0240,D24 S S SAHOO,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0241,D25 MANJUSHA,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0242,D26 M ALAM,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0243,D27 ASHIRVAAD,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0244,D28 M L SHAW,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0245,D29 BAIKUNTH SHAW,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0246,D3 JITENDAR SHAW,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0247,D4 MEGHNATH SHAW,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0408,D5 JAGANNAT PAN,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0409,D6 P SENAPATI,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0410,D7 NAGINA PAN,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0411,D8 RAMESH PAN,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0412,D9 SHYAM SUNDAR PAN,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118CU0383,MAHALAXMI STORES     KANSARIPARA,Inactive,Daily,24-02-2017 12:30,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0248,E1 HELLO POINT,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118DMS092500200,E10 Jiya Communication ,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0249,E2 ANJALI STORES,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0250,E3 TARAK STORES,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0386,E4 S P GUPTA,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0387,E5 AMULYA GHOSH,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0388,E6 TAPAN MANNA,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0389,E7 BISHU DAS,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0390,E8 PINKU DEY,Active,Daily,13-09-2024 13:16,
11880,E  BAJRANGI SHAW,16 - Convenience Ds CDM,Active,CY0000000313,T C ROAD 2 CG1,31-12-2999,118EXP2020CU0391,E9 SUBHO GHOSH,Active,Daily,13-09-2024 13:16,
11881,F,16 - Convenience Ds CDM,Active,61,SARAT BOSE ROAD CG,31-12-2099,118EXP2020CU0251,F1 LAXMI PAN,Active,Daily,24-02-2017 12:33,
11881,F,16 - Convenience Ds CDM,Active,61,SARAT BOSE ROAD CG,31-12-2099,118EXP2020CU0360,F10 B GUPTA,Active,Daily,24-02-2017 12:33,
11881,F,16 - Convenience Ds CDM,Active,61,SARAT BOSE ROAD CG,31-12-2099,118EXP2020CU0361,F11 L P GUPTA,Active,Daily,24-02-2017 12:33,
11881,F,16 - Convenience Ds CDM,Active,61,SARAT BOSE ROAD CG,31-12-2099,118EXP2020CU0362,F12 S P GUPTA,Active,Daily,24-02-2017 12:33,
11881,F,16 - Convenience Ds CDM,Active,61,SARAT BOSE ROAD CG,31-12-2099,118EXP2021CU0120,F13 BISHU DAS,Active,Daily,24-02-2017 12:33,
11881,F,16 - Convenience Ds CDM,Active,61,SARAT BOSE ROAD CG,31-12-2099,118EXP2021CU0121,F14 RUPESH SHAW,Active,Daily,24-02-2017 12:33,
